Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
5C56.0Y	其他特指的神经鞘脂贮积症	Other specified sphingolipidosis	Other specified sphingolipidosis	05.Endocrine, nutritional or metabolic diseases
8A05.00	Tourette综合征	Tourette syndrome	Tourette syndrome	08.Diseases of the nervous system
3A60	先天性纯红细胞再生障碍	Congenital pure red cell aplasia	Congenital pure red cell aplasia	03.Diseases of the blood or blood-forming organs
KA20.1Z	未特指的宫内生长受限	Intrauterine growth restriction, unspecified	Intrauterine growth restriction, unspecified	19.Certain conditions originating in the perinatal period
5C50.E0	经典有机酸尿症	Classical organic aciduria	Classical organic aciduria	05.Endocrine, nutritional or metabolic diseases
8C7Y	其他特指的原发性肌肉功能障碍	Other specified primary disorders of muscles	Other specified primary disorders of muscles	08.Diseases of the nervous system
8C72.00	杆状体肌病	Nemaline myopathy	Nemaline myopathy	08.Diseases of the nervous system
2C82.Z	未特指的前列腺恶性肿瘤	Malignant neoplasms of prostate, unspecified	Malignant neoplasms of prostate, unspecified	02.Neoplasms
9A70.0	角膜内皮营养不良	Endothelial corneal dystrophy	Endothelial corneal dystrophy	09.Diseases of the visual system
DB95.1	药物性或中毒性肝病伴慢性肝炎	Drug-induced or toxic liver disease with chronic hepatitis	Biliary atresia	13.Diseases of the digestive system
FB32.20	特发性横纹肌溶解	Idiopathic rhabdomyolysis	Idiopathic rhabdomyolysis	15.Diseases of the musculoskeletal system or connective tissue
5C57.1	过氧化物酶α-，β-或ω-氧化缺陷	Disorders of peroxisomal alpha-, beta- or omega-oxidation	Disorders of peroxisomal alpha-, beta- or omega-oxidation	05.Endocrine, nutritional or metabolic diseases
8D0Z	未特指的神经-肌肉接头或肌肉疾病	Diseases of neuromuscular junction or muscle, unspecified	Diseases of neuromuscular junction or muscle, unspecified	08.Diseases of the nervous system
2F37	内分泌腺良性肿瘤	Benign neoplasm of endocrine glands	Endocrine gland neoplasm	02.Neoplasms
CA07	多发性和未特指部位的急性上呼吸道感染	Acute upper respiratory infections of multiple and unspecified sites	Acute upper respiratory infection	12.Diseases of the respiratory system
9A61	某些特指的结膜疾患	Certain specified disorders of conjunctiva	Hyperaemia	09.Diseases of the visual system
9B7Y	其他特指的视网膜疾患	Other specified disorders of the retina	Hyperaemia	09.Diseases of the visual system
1F28	皮肤癣菌病	Dermatophytosis	Itching	01.Certain infectious or parasitic diseases
1G07	螨虫侵染	Infestation by mites	Itching	01.Certain infectious or parasitic diseases
DA41	胃十二指肠运动或分泌障碍	Gastroduodenal motor or secretory disorders	Gastroduodenal motor/secretory disorder	13.Diseases of the digestive system
MD11	呼吸异常	Abnormalities of breathing	Breathing abnormality	21.Symptoms, signs or clinical findings, not elsewhere classified
DE2Z	未特指的消化系统疾病	Diseases of the digestive system, unspecified	Digestive system disease	13.Diseases of the digestive system
7A80	不宁腿综合征	Restless legs syndrome	Restless legs syndrome	07.Sleep-wake disorders
ME07	大便失禁	Faecal incontinence	Faecal incontinence	21.Symptoms, signs or clinical findings, not elsewhere classified
MC85	坏疽	Gangrene	Gangrene	21.Symptoms, signs or clinical findings, not elsewhere classified
EC23.20	眼皮肤白化病	Oculocutaneous albinism	Oculocutaneousalbinism	14.Diseases of the skin
MA80.0	失语	Aphasia	Aphasia	21.Symptoms, signs or clinical findings, not elsewhere classified
9D46	双眼视功能损害	Impairment of binocular functions	Impairment of binocular functions	09.Diseases of the visual system
LD90.0	Angelman综合征	Angelman syndrome	Angelman syndrome	20.Developmental anomalies
EH7Z	未特指的皮肤药物不良反应	Unspecified adverse cutaneous reactions to medication	Unspecified adverse cutaneous reactions to medication	14.Diseases of the skin
EC23.2	白化病或其他特指的遗传性色素减退性疾病	Albinism or other specified genetically-determined hypomelanotic disorders	Albinism or other specified genetically-determined hypomelanotic disorders	14.Diseases of the skin
LD20	以中枢神经系统异常为主要特征的综合征	Syndromes with central nervous system anomalies as a major feature	CNS anomalies syndrome	20.Developmental anomalies
5C53	先天性能量代谢缺陷	Inborn errors of energy metabolism	Inborn energy metabolism error	05.Endocrine, nutritional or metabolic diseases
BA2Z	未特指的低血压	Hypotension, unspecified	Blood Pressure	11.Diseases of the circulatory system
BA00.Z	未特指的原发性高血压	Essential hypertension, unspecified	Blood Pressure	11.Diseases of the circulatory system
MC81.0	未特指的心动过速	Tachycardia, unspecified	Tachycardia, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
CA00	急性鼻咽炎	Acute nasopharyngitis	Nasopharyngitis	12.Diseases of the respiratory system
3B61	易栓症	Thrombophilia	Thrombophilia	03.Diseases of the blood or blood-forming organs
XH36H6	光线性角化病	Actinic keratosis	Actinic keratosis	X.Extension Codes
ED56	毛周角化病	Keratosis pilaris	Keratosis pilaris	14.Diseases of the skin
BD71	深静脉血栓形成	Deep vein thrombosis	Deep vein thrombosis	11.Diseases of the circulatory system
LA11	眼前节结构发育异常	Structural developmental anomalies of the anterior segment of eye	Eye anterior segment structural developmental anomaly	20.Developmental anomalies
5A81	睾丸功能障碍或睾酮相关疾患	Testicular dysfunction or testosterone-related disorders	Testicular dysfunction	05.Endocrine, nutritional or metabolic diseases
5C72	低渗或低钠血症	Hypo-osmolality or hyponatraemia	Hypo-osmolality/hyponatraemia	05.Endocrine, nutritional or metabolic diseases
FB32	某些特指的肌肉疾患	Certain specified disorders of muscle	Muscle disorder	15.Diseases of the musculoskeletal system or connective tissue
FB3Z	未特指的肌肉疾患	Disorders of muscles, unspecified	Muscle disorder	15.Diseases of the musculoskeletal system or connective tissue
ME82	关节痛	Pain in joint	Joint pain	21.Symptoms, signs or clinical findings, not elsewhere classified
DB94	酒精性肝病	Alcoholic liver disease	Alcoholic liver disease	13.Diseases of the digestive system
4A44	血管炎	Vasculitis	Vasculitis	04.Diseases of the immune system
FA11	反应性关节病	Reactive arthropathies	Reactive arthropathy	15.Diseases of the musculoskeletal system or connective tissue
GC2Z	未特指的泌尿系统疾病	Diseases of the urinary system, unspecified	Urinary system disease	16.Diseases of the genitourinary system
FA01	膝关节骨关节炎	Osteoarthritis of knee	Knee osteoarthritis	15.Diseases of the musculoskeletal system or connective tissue
FA92	炎性脊柱关节炎	Inflammatory spondyloarthritis	Inflammatory spondyloarthritis	15.Diseases of the musculoskeletal system or connective tissue
8A03	共济失调疾病	Ataxic disorders	Ataxic disorder	08.Diseases of the nervous system
2C60	乳腺癌，特指类型	Carcinoma of breast, specialised type	Mammary tumour	02.Neoplasms
2C6Z	未特指的乳房恶性肿瘤	Malignant neoplasms of breast, unspecified	Mammary tumour	02.Neoplasms
MG26	其他或不明原因的发热	Fever of other or unknown origin	Fever of other or unknown origin	21.Symptoms, signs or clinical findings, not elsewhere classified
NA07.0	脑震荡	Concussion	Concussion	22.Injury, poisoning or certain other consequences of external causes
DA0A.Y	其他特指的牙或支持结构疾患	Other specified disorders of teeth and supporting structures	Other specified disorders of teeth and supporting structures	13.Diseases of the digestive system
DA61	消化性溃疡，部位未特指	Peptic ulcer, site unspecified	Peptic ulcer	13.Diseases of the digestive system
7A41	阻塞性睡眠呼吸暂停	Obstructive sleep apnoea	Obstructive sleep apnoea	07.Sleep-wake disorders
LA8B.4	动脉导管未闭	Patent arterial duct	Patent arterial duct	20.Developmental anomalies
FB85	Paget骨病	Paget disease of bone	Bone paget disease	15.Diseases of the musculoskeletal system or connective tissue
DA08	牙齿硬组织疾病	Diseases of hard tissues of teeth	Dental disease	13.Diseases of the digestive system
8C75	远端肌病	Distal myopathies	Distal myopathies	08.Diseases of the nervous system
DA60	胃溃疡	Gastric ulcer	Gastric ulcer	13.Diseases of the digestive system
2E65.2	乳腺导管原位癌	Ductal carcinoma in situ of breast	Ductal carcinoma in situ of breast	02.Neoplasms
FA01	膝关节骨关节炎	Osteoarthritis of knee	Osteoarthritis of knee	15.Diseases of the musculoskeletal system or connective tissue
6C4G.2Z	未知或未特指的精神活性物质依赖，物质和缓解状态未特指	Unknown or unspecified psychoactive substance dependence, substance and state of remission unspecified	Unknown or unspecified psychoactive substance dependence, substance and state of remission unspecified	06.Mental, behavioural or neurodevelopmental disorders
2E65.0	乳腺小叶性原位癌	Lobular carcinoma in situ of breast	Lobular carcinoma in situ of breast	02.Neoplasms
CB27	胸腔积液	Pleural effusion	Pleural effusion	12.Diseases of the respiratory system
FA92.0Z	未特指的中轴型脊柱关节炎	Axial spondyloarthritis, unspecified	Axial spondyloarthritis, unspecified	15.Diseases of the musculoskeletal system or connective tissue
MG20	恶病质	Cachexia	Cachexia	21.Symptoms, signs or clinical findings, not elsewhere classified
FA8Z	未特指的脊柱退行性病变	Degenerative condition of spine, unspecified	Degenerative condition of spine, unspecified	15.Diseases of the musculoskeletal system or connective tissue
EB50	亚急性皮肤型红斑狼疮	Subacute cutaneous lupus erythematosus	Cutaneous lupus erythematosus	14.Diseases of the skin
EB5Z	未特指类型的皮肤型红斑狼疮	Cutaneous lupus erythematosus of unspecified type	Cutaneous lupus erythematosus	14.Diseases of the skin
4A00.0Y	其他特指的功能性中性粒细胞缺陷	Other specified functional neutrophil defects	Other specified functional neutrophil defects	04.Diseases of the immune system
8D2Z	未特指的脑瘫	Cerebral palsy, unspecified	Cerebral palsy, unspecified	08.Diseases of the nervous system
FA00	髋关节骨关节炎	Osteoarthritis of hip	Osteoarthritis of hip	15.Diseases of the musculoskeletal system or connective tissue
8C1Z	未特指部位的单神经病	Mononeuropathy of unspecified site	Mononeuropathy of unspecified site	08.Diseases of the nervous system
ND14.7	踝的劳损或扭伤	Strain or sprain of ankle	Strain or sprain of ankle	22.Injury, poisoning or certain other consequences of external causes
ME84.0	颈椎痛	Cervical spine pain	Cervical spine pain	21.Symptoms, signs or clinical findings, not elsewhere classified
EJ40	晒伤	Sunburn	Sunburn	14.Diseases of the skin
KB88	新生儿坏死性小肠结肠炎	Necrotising enterocolitis of newborn	Necrotising enterocolitis of newborn	19.Certain conditions originating in the perinatal period
DA01.10	口腔阿弗他溃疡或阿弗他样溃疡	Oral aphthae or aphtha-like ulceration	Oral aphthae or aphtha-like ulceration	13.Diseases of the digestive system
NC92.2	胫骨干骨折	Fracture of shaft of tibia	Fracture of shaft of tibia	22.Injury, poisoning or certain other consequences of external causes
CA21	肺气肿	Emphysema	Emphysema	12.Diseases of the respiratory system
NC92	小腿（包括踝）骨折	Fracture of lower leg, including ankle	Fracture of lower leg, including ankle	22.Injury, poisoning or certain other consequences of external causes
MD93	吞咽困难	Dysphagia	Dysphagia	21.Symptoms, signs or clinical findings, not elsewhere classified
ED92	累及顶泌汗腺毛囊单位的疾病	Disorders involving the apocrine follicular unit	Hidradenitis suppurativa	14.Diseases of the skin
6B02	广场恐怖症	Agoraphobia	Agoraphobia	06.Mental, behavioural or neurodevelopmental disorders
6B01	惊恐障碍	Panic disorder	Panic disorder	06.Mental, behavioural or neurodevelopmental disorders
GA34.2	女性盆腔痛	Female pelvic pain	Female pelvic pain	16.Diseases of the genitourinary system
MG20.0	恶性恶液质	Malignant cachexia	Malignant cachexia	21.Symptoms, signs or clinical findings, not elsewhere classified
MG48	原因不明和原因未特指的疾病	Unknown or unspecified causes of morbidity	Unknown and unspecified causes of morbidity	21.Symptoms, signs or clinical findings, not elsewhere classified
MG41	睡眠障碍，不可归类在他处者	Sleep disturbance, not elsewhere classified	Sleep disturbance, not elsewhere classified	21.Symptoms, signs or clinical findings, not elsewhere classified
QF10	身体器官或系统的功能限制或残疾	Limited function or disability of body organ or system	Limited function or disability of body organ or system	24.Factors influencing health status or contact with health services
8D20	痉挛性脑瘫	Spastic cerebral palsy	Spastic cerebral palsy	08.Diseases of the nervous system
MG30.02	慢性原发性肌肉骨骼痛	Chronic primary musculoskeletal pain	Chronic primary musculoskeletal pain	21.Symptoms, signs or clinical findings, not elsewhere classified
ME84.Z	未特指的脊柱痛	Spinal pain, unspecified	Spinal pain, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
MB24.F	不安	Restlessness	Restlessness	21.Symptoms, signs or clinical findings, not elsewhere classified
MG30.51	慢性周围神经性疼痛	Chronic peripheral neuropathic pain	Chronic peripheral neuropathic pain	21.Symptoms, signs or clinical findings, not elsewhere classified
MC41	耳鸣	Tinnitus	Tinnitus	21.Symptoms, signs or clinical findings, not elsewhere classified
FA21	银屑病性关节炎	Psoriatic arthritis	Psoriatic arthritis	15.Diseases of the musculoskeletal system or connective tissue
8A00.1Y	其他特指的非典型帕金森综合征	Other specified atypical parkinsonism	Other specified atypical parkinsonism	08.Diseases of the nervous system
6B80	神经性厌食	Anorexia Nervosa	Anorexia nervosa	06.Mental, behavioural or neurodevelopmental disorders
DB96	自身免疫性肝病	Autoimmune liver disease	Autoimmune liver disease	13.Diseases of the digestive system
MF50	排尿异常	Abnormal micturition	Abnormal micturition	21.Symptoms, signs or clinical findings, not elsewhere classified
ED91	皮脂腺疾病	Disorders of the sebaceous gland	Sebaceous gland disorder	14.Diseases of the skin
8A02	肌张力障碍	Dystonic disorders	Dystonic disorder	08.Diseases of the nervous system
8A62	癫痫性脑病	Epileptic encephalopathies	Epileptic encephalopathy	08.Diseases of the nervous system
5B54	成人低体重	Underweight in adults	Underweight in adults	05.Endocrine, nutritional or metabolic diseases
8A02.00	良性特发性眼脸痉挛	Benign essential blepharospasm	Benign essential blepharospasm	08.Diseases of the nervous system
8A61.11	德拉韦综合征	Dravet syndrome	Dravet syndrome	08.Diseases of the nervous system
MB47.3	痛性痉挛或痉挛	Cramp or spasm	Cramp or spasm	21.Symptoms, signs or clinical findings, not elsewhere classified
BC42	心肌炎	Myocarditis	Myocarditis	11.Diseases of the circulatory system
8B93	神经根病	Radiculopathy	Radiculopathy	08.Diseases of the nervous system
FB83.0	骨量减少	Osteopenia	Osteopenia	15.Diseases of the musculoskeletal system or connective tissue
ME82	关节痛	Pain in joint	Pain in joint	21.Symptoms, signs or clinical findings, not elsewhere classified
1E51.0Z	慢性乙型肝炎，未特指的	Chronic hepatitis B, unspecified	Chronic hepatitis B, unspecified	01.Certain infectious or parasitic diseases
8A66	癫痫持续状态	Status epilepticus	Status epilepticus	08.Diseases of the nervous system
8A62.1	Lennox-Gastaut综合征	Lennox-Gastaut syndrome	Lennox-Gastaut syndrome	08.Diseases of the nervous system
LD90.3	Prader-Willi综合征	Prader-Willi syndrome	Prader-Willi syndrome	20.Developmental anomalies
LD23	以血管异常为主要特征的综合征	Syndromes with vascular anomalies as a major feature	Syndromes with vascular anomalies as a major feature	20.Developmental anomalies
8A61.21	儿童失神癫痫	Childhood absence epilepsy	Childhood absence epilepsy	08.Diseases of the nervous system
DB96.0	自身免疫性肝炎	Autoimmune hepatitis	Autoimmune hepatitis	13.Diseases of the digestive system
GC00.3	间质膀胱炎	Interstitial cystitis	Interstitial cystitis	16.Diseases of the genitourinary system
6A00.Z	未特指的智力发育障碍	Disorders of intellectual development, unspecified	Disorders of intellectual development, unspecified	06.Mental, behavioural or neurodevelopmental disorders
LD90.4	Rett综合征	Rett syndrome	Rett syndrome	20.Developmental anomalies
FB83.11	绝经后骨质疏松	Postmenopausal osteoporosis	Postmenopausal osteoporosis	15.Diseases of the musculoskeletal system or connective tissue
XH5J10	毛细胞白血病	Hairy cell leukaemia	Hairy cell leukaemia	X.Extension Codes
MG46	非感染性病因的全身炎症反应综合征	Systemic inflammatory response syndrome of noninfectious origin	Systemic inflammatory response syndrome of noninfectious origin	21.Symptoms, signs or clinical findings, not elsewhere classified
5C1Z	未特指的超重、肥胖或特定的营养过剩	Overweight, obesity or specific nutrient excesses, unspecified	Overweight, obesity or specific nutrient excesses, unspecified	05.Endocrine, nutritional or metabolic diseases
6D71	轻度神经认知障碍	Mild neurocognitive disorder	Mild Cognitive Impairment	06.Mental, behavioural or neurodevelopmental disorders
NA07.4Z	未特指的局灶性创伤性脑损伤	Unspecified focal traumatic brain injury	Unspecified focal traumatic brain injury	22.Injury, poisoning or certain other consequences of external causes
LD2C	过度生长综合征	Overgrowth syndromes	Overgrowth syndrome	20.Developmental anomalies
NE61	主要为非药用有毒物质的有害效应或暴露于该物质，不可归类在他处者	Harmful effects of or exposure to noxious substances, chiefly nonmedicinal as to source, not elsewhere classified	Eexposure to noxious substances harmful effect	22.Injury, poisoning or certain other consequences of external causes
LB20	胆囊、胆管或肝脏结构发育异常	Structural developmental anomalies of gallbladder, bile ducts or liver	Gallbladder/bile ducts/liver structural developmental anomaly	20.Developmental anomalies
EC90	瘙痒症	Pruritus	Pruritus	14.Diseases of the skin
2C00	肛门或肛管恶性肿瘤	Malignant neoplasms of anus or anal canal	Anal cancer	02.Neoplasms
2F90.Z	口腔和消化器官未特指部位生物学行为未知的肿瘤	Neoplasms of unknown behaviour of oral cavity or digestive organs, unspecified site	Neoplasms of unknown behaviour of oral cavity and digestive organs, unspecified site	02.Neoplasms
NE6Z	未特指物质的有害效应	Harmful effects of unspecified substance	Harmful effects of unspecified substance	22.Injury, poisoning or certain other consequences of external causes
DB99.7	肝衰竭未提及急性或慢性	Hepatic failure without mention whether acute or chronic	Hepatic failure without mention whether acute or chronic	13.Diseases of the digestive system
XM74S8	毒蘑菇	Poisonous mushroom	Poisonous mushroom	X.Extension Codes
GB61.5	慢性肾脏病5期	Chronic kidney disease, stage 5	Chronic kidney disease, stage 5	16.Diseases of the genitourinary system
DB98	肝血管性疾病	Vascular disorders of the liver	Liver vascular disorder	13.Diseases of the digestive system
8D8A	局灶性或节段性自主神经功能障碍	Focal or segmental autonomic disorders	Focal/segmental autonomic disorder	08.Diseases of the nervous system
4A43	重叠或未分化的非器官特异性系统性自身免疫病	Overlap or undifferentiated nonorgan specific systemic autoimmune disease	Sjogren syndrome	04.Diseases of the immune system
1E50.0	急性甲型肝炎	Acute hepatitis A	Acute hepatitis A	01.Certain infectious or parasitic diseases
4A01	适应性免疫疾患引起的原发性免疫缺陷	Primary immunodeficiencies due to disorders of adaptive immunity	Immune system disease	04.Diseases of the immune system
MF96	蛋白尿	Proteinuria	Proteinuria	21.Symptoms, signs or clinical findings, not elsewhere classified
XM12M9	精神兴奋剂、多动症和促智药	Psychostimulants, ADHD and nootropic agents	Psychostimulants, ADHD and nootropic agents	X.Extension Codes
2C4Z	未特指的周围神经或自主神经系统恶性肿瘤	Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified	Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified	02.Neoplasms
2D7Z	胸腔或呼吸器官转移性恶性肿瘤，未特指的	Malignant neoplasm metastasis in thoracic or respiratory organs, unspecified	Malignant neoplasm metastasis in thoracic or respiratory organs, unspecified	02.Neoplasms
5B91	矿物质过多	Mineral excesses	Mineral excesses	05.Endocrine, nutritional or metabolic diseases
ME05	大便习惯改变	Change in bowel habit	Bowel habit change	21.Symptoms, signs or clinical findings, not elsewhere classified
FC0Z	未特指的肌肉骨骼系统或结缔组织疾病	Diseases of the musculoskeletal system or connective tissue, unspecified	Musculoskeletal system/connective tissue disease	15.Diseases of the musculoskeletal system or connective tissue
BA85	冠状血管痉挛性疾病	Coronary vasospastic disease	Coronary vasospastic disease	11.Diseases of the circulatory system
1B5Y	其他特指的葡萄球菌或链球菌性疾病	Other specified staphylococcal or streptococcal diseases	Staphylococcal/streptococcal disease	01.Certain infectious or parasitic diseases
1A9Y	其他特指的以性传播为主要途径的感染性疾患	Other specified predominantly sexually transmitted infections	Sexually transmitted infection	01.Certain infectious or parasitic diseases
1A9Z	未特指的以性传播为主要途径的感染性疾患	Predominantly sexually transmitted infections, unspecified	Sexually transmitted infection	01.Certain infectious or parasitic diseases
CA24	支气管扩张	Bronchiectasis	Bronchiectasis	12.Diseases of the respiratory system
JA86.2	为胎儿缺氧征象给予的孕产妇医疗	Maternal care for signs of fetal hypoxia	Maternal care for signs of fetal hypoxia	18.Pregnancy, childbirth or the puerperium
8D60.1	脑水肿	Cerebral oedema	Cerebral oedema	08.Diseases of the nervous system
8D60.Y	其他特指的颅压增高	Other specified increased intracranial pressure	Other specified increased intracranial pressure	08.Diseases of the nervous system
8B22	某些特指的脑血管病	Certain specified cerebrovascular diseases	Cerebrovascular disease	08.Diseases of the nervous system
8B2Z	未特指的脑血管病	Cerebrovascular diseases, unspecified	Cerebrovascular disease	08.Diseases of the nervous system
MD11.C	哮鸣音	Wheezing	Wheezing	21.Symptoms, signs or clinical findings, not elsewhere classified
1E91.5	疱疹后多神经病变	Postherpetic polyneuropathy	Postherpetic polyneuropathy	01.Certain infectious or parasitic diseases
PH56	意图不确定的暴露于其他或未特指的主要为源于非药用的物质或其有害效应	Exposure to or harmful effects of undetermined intent of other or unspecified substances chiefly nonmedicinal as to source	Exposure to or harmful effects of undetermined intent of other or unspecified substances chiefly nonmedicinal as to source	23.External causes of morbidity or mortality
FB56.2	肌痛	Myalgia	Myalgia	15.Diseases of the musculoskeletal system or connective tissue
BD74	慢性下肢外周静脉功能不全	Chronic peripheral venous insufficiency of lower extremities	Chronic lower extremities peripheral venous insufficiency	11.Diseases of the circulatory system
GA20.50	月经出血过多	Heavy menstrual bleeding	Heavy menstrual bleeding	16.Diseases of the genitourinary system
VV0Y	其他特指的精神功能	Other specified mental functions	Other specified mental functions	V.Supplementary section for functioning assessment
VV91	控制压力和其他心理需求	Handling stress and other psychological demands	Handling stress and other psychological demands	V.Supplementary section for functioning assessment
LD40.0	完全型21三体	Complete trisomy 21	Complete trisomy 21	20.Developmental anomalies
2A60	急性髓系白血病和相关前体细胞肿瘤	Acute myeloid leukaemias and related precursor neoplasms	Sarcoma	02.Neoplasms
2C35	皮肤肉瘤	Cutaneous sarcoma	Sarcoma	02.Neoplasms
2E2Z	未特指的转移性恶性肿瘤	Malignant neoplasm metastasis, unspecified	Malignant neoplasm metastasis, unspecified	02.Neoplasms
2B72.Z	未特指的胃恶性肿瘤	Malignant neoplasms of stomach, unspecified	Malignant neoplasms of stomach, unspecified	02.Neoplasms
2B6B	鼻咽恶性肿瘤	Malignant neoplasms of nasopharynx	Malignant neoplasms of nasopharynx	02.Neoplasms
6D81	脑血管病所致痴呆	Dementia due to cerebrovascular disease	Dementia due to cerebrovascular disease	06.Mental, behavioural or neurodevelopmental disorders
2C76	子宫体恶性肿瘤	Malignant neoplasms of corpus uteri	Malignant neoplasms of corpus uteri	02.Neoplasms
XH7M15	胆管癌	Cholangiocarcinoma	Cholangiocarcinoma	X.Extension Codes
2C13	胆囊恶性肿瘤	Malignant neoplasms of gallbladder	Malignant neoplasms of gallbladder	02.Neoplasms
XH0492	骨的巨细胞瘤，恶性	Giant cell tumour of bone, malignant	Giant cell tumour of bone, malignant	X.Extension Codes
8B22.Y	其他特指的脑血管病	Other specified cerebrovascular disease	Other specified cerebrovascular disease	08.Diseases of the nervous system
AB50.1	先天性感音神经性听力损失	Congenital sensorineural hearing loss	Hearing Loss;Sensorineural	10.Diseases of the ear or mastoid process
AB51.1	获得性感音神经性听力损失	Acquired sensorineural hearing loss	Hearing Loss;Sensorineural	10.Diseases of the ear or mastoid process
AB30.0	前庭神经炎	Vestibular neuritis	Vestibular neuritis	10.Diseases of the ear or mastoid process
VV03	记忆功能	Memory functions	Memory functions	V.Supplementary section for functioning assessment
ED63.0	白癜风	Vitiligo	Vitiligo	14.Diseases of the skin
1D2Z	登革热，未特指的	Dengue fever, unspecified	Dengue fever	01.Certain infectious or parasitic diseases
2C0Z	未特指的肠恶性肿瘤	Malignant neoplasms of intestine, unspecified	Malignant intestine neoplasm	02.Neoplasms
8D87.0	多系统萎缩	Multiple system atrophy	Multiple system atrophy	08.Diseases of the nervous system
DA23.Z	未特指的食管柱状化生上皮	Columnar metaplastic epithelium of the oesophagus, unspecified	Columnar metaplastic epithelium of the oesophagus, unspecified	13.Diseases of the digestive system
XH6PH6	星形细胞瘤，NOS	Astrocytoma, NOS	Astrocytoma, NOS	X.Extension Codes
ED52	汗孔角化症	Porokeratoses	Porokeratoses	14.Diseases of the skin
5C52.10	胆固醇合成障碍	Disorders of cholesterol synthesis	Disorders of cholesterol synthesis	05.Endocrine, nutritional or metabolic diseases
9B75.0	年龄相关性黄斑变性	Age-related macular degeneration	Age-related macular degeneration	09.Diseases of the visual system
BD5Z	未特指的动脉或小动脉疾病	Diseases of arteries or arterioles, unspecified	Diseases of arteries or arterioles, unspecified	11.Diseases of the circulatory system
BA00.Z	未特指的原发性高血压	Essential hypertension, unspecified	Essential hypertension, unspecified	11.Diseases of the circulatory system
MB56	截瘫	Paraplegia	Paraplegia	21.Symptoms, signs or clinical findings, not elsewhere classified
8A80.1	有先兆偏头痛	Migraine with aura	Migraine with aura	08.Diseases of the nervous system
GB90.48	钙或磷排泄障碍	Disorders of calcium or phosphate excretion	Disorders of calcium or phosphate excretion	16.Diseases of the genitourinary system
MD11.0	呼吸暂停	Apnoea	Apnoea	21.Symptoms, signs or clinical findings, not elsewhere classified
8A80.0	无先兆偏头痛	Migraine without aura	Migraine without aura	08.Diseases of the nervous system
5A50.1	假性甲状旁腺功能减退症	Pseudohypoparathyroidism	Pseudohypoparathyroidism	05.Endocrine, nutritional or metabolic diseases
MA82.Z	未特指的语音障碍	Voice disturbances, unspecified	Voice disturbances, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
4A01.31	不同于T细胞或B细胞联合免疫缺陷的DNA修复缺陷	DNA repair defects other than combined T-cell or B-cell immunodeficiencies	DNA repair defects other than combined T-cell or B-cell immunodeficiencies	04.Diseases of the immune system
1C41	未特指部位的细菌性感染	Bacterial infection of unspecified site	Bacterial infection of unspecified site	01.Certain infectious or parasitic diseases
LD44.20	2号染色体长臂缺失	Deletions of the long arm of chromosome 2	Deletions of the long arm of chromosome 2	20.Developmental anomalies
GB60.Z	急性肾衰竭，未特指分期	Acute kidney failure, stage unspecified	Acute kidney failure, stage unspecified	16.Diseases of the genitourinary system
CB40.Y	其他特指的呼吸系统疾病	Other specified diseases of the respiratory system	Other specified diseases of the respiratory system	12.Diseases of the respiratory system
MD11.5	呼吸困难	Dyspnoea	Dyspnoea	21.Symptoms, signs or clinical findings, not elsewhere classified
GB81	常染色体显性遗传多囊肾	Autosomal dominant polycystic kidney disease	Autosomal dominant polycystic kidney disease	16.Diseases of the genitourinary system
JB00	早产临产或早产	Preterm labour or delivery	Preterm labour or delivery	18.Pregnancy, childbirth or the puerperium
LA89	功能性单心室	Functionally univentricular heart	Functionally univentricular heart	20.Developmental anomalies
BA40.1	稳定性心绞痛	Stable angina	Stable angina	11.Diseases of the circulatory system
DA21	食管运动障碍	Motility disorders of oesophagus	Oesophagus motility disorder	13.Diseases of the digestive system
QA00	无主诉或诊断报告的人接受的一般性检查或调查	General examination or investigation of persons without complaint or reported diagnosis	General examination	24.Factors influencing health status or contact with health services
MB23	涉及外表或行为的症状或体征	Symptoms or signs involving appearance or behaviour	Appearance/behaviour symptom	21.Symptoms, signs or clinical findings, not elsewhere classified
8C70	肌营养不良	Muscular dystrophy	Brain disease	08.Diseases of the nervous system
8E61	放射后神经系统损伤	Post radiation injury of the nervous system	Brain disease	08.Diseases of the nervous system
MG42	嗜睡，不可归类在他处者	Somnolence, not elsewhere classified	Somnolence	21.Symptoms, signs or clinical findings, not elsewhere classified
MB21	涉及认知的症状、体征或临床所见	Symptoms, signs or clinical findings involving cognition	Cognition symptoms/signs/clinical sympton	21.Symptoms, signs or clinical findings, not elsewhere classified
DA42	胃炎	Gastritis	Gastritis	13.Diseases of the digestive system
1A40	未特指感染性病原体的胃肠炎或结肠炎	Gastroenteritis or colitis without specification of infectious agent	Infectious gastroenteritis/colitis	01.Certain infectious or parasitic diseases
9C84	眼球震颤	Nystagmus	Nystagmus	09.Diseases of the visual system
8A04	与震颤有关的疾病	Disorders associated with tremor	Central and peripheral nervous disease	08.Diseases of the nervous system
8E7Z	未特指的神经系统疾病	Diseases of the nervous system, unspecified	Central and peripheral nervous disease	08.Diseases of the nervous system
